https://fragalysis.diamond.ac.uk/viewer/react/projects/312/279,,,,,
smiles,name,compound_set,red,red-text,blue
On1cnc2cccc(Cl)c21,CHIKV_Mac-CTLF,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Oc1cccc2ncn(O)c12,CHIKV_Mac-AZJH,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2[nH]cnc2c1Cl,CHIKV_Mac-ANW4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cnnc2c1cc(Cl)c1nc[nH]c12,CHIKV_Mac-7V4L,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOc1cc2c(ncn2C)c(Cl)c1O,CHIKV_Mac-DHKR,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NN(O)c1cccc2[nH]cnc12,CHIKV_Mac-6WWF,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1nc(S(N)(=O)=O)n2c1cnn2CCO,CHIKV_Mac-6MCU,Fstein_pures_adenine-2024-04-05-A,,,TRUE
NS(=O)(=O)c1nccn1Br,CHIKV_Mac-4D54,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NS(=O)(=O)c1nccn1Br,CHIKV_Mac-AWP4,Fstein_pures_adenine-2024-04-05-A,,,TRUE
NS(=O)(=O)c1c(Br)cc[nH]c1=O,CHIKV_Mac-5GHU,Fstein_pures_adenine-2024-04-05-A,,,TRUE
NS(=O)(=O)c1ncc2c3nccc-3cccn12,CHIKV_Mac-74KF,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1c[nH]c(S(N)(=O)=O)n1,CHIKV_Mac-6PH7,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CC(=O)N1C[C@@H](CN(C)C(=O)CNC(=O)c2scnc2C)Oc2c(F)cccc21,CHIKV_Mac-4D6C,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(=O)N1C[C@@H](CN(C)C(=O)CNC(=O)c2scnc2C)Oc2c(F)cccc21,CHIKV_Mac-7WV6,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC(=O)Nc1ccc2ncc(N)c(O)c2c1,CHIKV_Mac-CEF4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC(=O)Nc1ccc2nccc(O)c2c1,CHIKV_Mac-5RSZ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1cnc2cccc(N)c2c1,CHIKV_Mac-D9ZT,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2cccc(N)c2n1,CHIKV_Mac-CVKA,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC(=O)c1c(N)c(Cl)nc2ccccc12,CHIKV_Mac-AU7Z,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2cccc(N)c2c1,CHIKV_Mac-CAK6,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1cnc2c(c1)CCC[C@@]21CCNN1,CHIKV_Mac-6JXW,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
N[C@H]1Oc2ccc(-c3cc[nH]n3)cc2O1,CHIKV_Mac-5TK4,Fstein_pures_adenine-2024-04-05-A,,,TRUE
COCc1ccc(CN)c2cc(N)cnc12,CHIKV_Mac-DP9V,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COC[C@H]1ONC2=C1NC[C@H](N)C2,CHIKV_Mac-6VRF,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COc1c(O)ccc2cc(N)cnc12,CHIKV_Mac-DKN6,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
C[C@H]1Cc2cccc3c2N1C[C@H](N)C3,CHIKV_Mac-C3F6,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC1=Cc2cccc3nn(C)c(c23)N1,CHIKV_Mac-CHPU,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2c(O)cccc2c1,CHIKV_Mac-57NM,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
N[C@@H]1Cc2cc(CO)ccc2O1,CHIKV_Mac-4PLM,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2c(CCO)ccc(N)c2c1,CHIKV_Mac-7DK3,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2ccccc2c1N,CHIKV_Mac-5XR5,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cc2c(N)cccc2nc1F,CHIKV_Mac-5JK3,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2c(Br)cccc2c1,CHIKV_Mac-KPJ4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC(=O)c1cccc2cc(N)c(N)nc12,CHIKV_Mac-5VRL,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1nc2ccccc2c(N)c1N,CHIKV_Mac-DU5S,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CN(C)C(=O)CNc1c(O)c(N)cc2ccccc12,CHIKV_Mac-9CZD,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2ccccc2c1O,CHIKV_Mac-9NMY,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOc1c(O)c(N)cc2ccccc12,CHIKV_Mac-97F4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2ccc3cc[nH]c3c2c1O,CHIKV_Mac-ALEJ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
NC1(N)CNc2ccccc2C1,CHIKV_Mac-9KUK,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cnc2c(CO)cccc2c1,CHIKV_Mac-6DU3,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NNC(=O)c1cc(Cl)c(Cl)cc1N,CHIKV_Mac-RVCV,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC(=O)c1ccc(Cl)c(Cl)c1N,CHIKV_Mac-A44S,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
N[C@]12CCC3=C1C(=CC=CN3)OC2,CHIKV_Mac-A4U4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
N[C@]12CCCc3c(O)ccc(c31)OC2,CHIKV_Mac-4JMZ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CON1ON=C2c3c1ccc(N)c3C(=O)N2N,CHIKV_Mac-964L,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
N[C@@H]1CC[C@@H]2NC[C@@H]3[C@@H]2[C@@H]1C(=O)N3N,CHIKV_Mac-9W5U,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNc1cc(O)cc2c(N)ccc(Cl)c12,CHIKV_Mac-9EZD,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNc1cc(O)c2cccc(Cl)c2n1,CHIKV_Mac-CUEJ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1cc2c[nH]nc2c2ccnc(O)c12,CHIKV_Mac-RJ9E,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
