https://fragalysis.diamond.ac.uk/viewer/react/projects/311/278,,,,,
smiles,name,compound_set,red,red-text,blue
C[C@@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-9NNM,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(C)C(=O)CNC(=O)c1scnc1CCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-65T9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(C)C(=O)CNC(=O)c1scnc1CCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-AHDD,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)c1ccccc1CCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-5YLW,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)c1ccccc1OCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-6KX5,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1noc2ccccc12,CHIKV_Mac-CEXR,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(CCc2cccc3nc[nH]c23)n1,CHIKV_Mac-5SN9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(CCc2cccc3[nH]cnc23)n1,CHIKV_Mac-GLTM,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2CC[C@@]3(CC2=O)[C@@H](C)Oc2c(F)cccc2N3C(C)=O)no1,CHIKV_Mac-64ZR,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2CC[C@@]3(CC2=O)[C@@H](C)Oc2c(F)cccc2N3C(C)=O)no1,CHIKV_Mac-74YK,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(CCc2cnc3ccccc3c2)n1,CHIKV_Mac-466C,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(CNc2cnc3ccccc3c2)n1,CHIKV_Mac-793K,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2CC[C@@]3(CCc4nc(CO)n(C)c4C3)CC2=O)no1,CHIKV_Mac-4APS,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](c1nc(Cn2ccccc2=O)no1)[C@H]1COc2cccc(CO)c2O1,CHIKV_Mac-7J5G,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CS1(C)N[C@@H](NO)N[C@H]1N[C@@H]1CCC[C@H]1CO,CHIKV_Mac-6VKE,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCOc1ncccc1C(=O)N1/C=C(/c2cscn2)N[C@H]2CNC(=O)C[C@@H]2OC1,CHIKV_Mac-9HGE,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCOc1ncccc1C(=O)N1CO[C@H]2CC(=O)NC[C@@H]2N/C(c2cscn2)=N\1,CHIKV_Mac-49Y4,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1ncsc1C(=O)NCC(=O)N(C)OC(F)(F)Cn1ccnc1CC#N,CHIKV_Mac-CGZ3,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1ncsc1C(=O)NCC(=O)N(C)CC(F)(F)Cn1ccnc1CC#N,CHIKV_Mac-D5EV,Fstein_pures_others_-2024-04-05-A,TRUE,red,
COCc1cc(Cl)c2nc[nH]c2c1,CHIKV_Mac-6S6F,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Oc1c(Cc2cccs2)cc2[nH]cnc2c1Cl,CHIKV_Mac-A7R3,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1CC[C@@H](NC(=O)c2csc3c(cc(Cl)c4ncnc43)n2)CN1,CHIKV_Mac-4LK9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CC[C@H](N)Nc1cccc([C@@H](CS)C(=O)N[C@@H]2CCC(=O)NC2)c1,CHIKV_Mac-CGN3,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C(N[C@H]1CNC(=O)c2ccc(Cn3cnc4ccccc43)cc21)c1cscn1,CHIKV_Mac-DAEF,Fstein_pures_others_-2024-04-05-A,TRUE,red,
OC[C@@H]1CCC[C@H]1Nc1ccc2[nH]cnc2c1Cl,CHIKV_Mac-7VSR,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1C[C@@]2(CCN(c3ccccc3F)C2=O)[C@@H](NC(=O)c2cscn2)CN1,CHIKV_Mac-APTK,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1C[C@@]2(CCN(c3ccccc3F)C2=O)[C@H](CC(=O)c2cscn2)CN1,CHIKV_Mac-7P7R,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C(N[S@@H]1CCC(=O)N(CCO)C1)c1cscn1,CHIKV_Mac-6XSU,Fstein_pures_others_-2024-04-05-A,,,TRUE
